epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,9224.44,0.69478,0.35178,0.79284,0.96722,0.98485,0.98758,0.837,0.68033,0.34531,0.80883,0.0008318,0.0008318,0.0008318
120,9303.21,0.68733,0.35733,0.79905,0.97388,0.97576,0.98838,0.82855,0.68731,0.34681,0.81706,0.0008219,0.0008219,0.0008219
121,9380.03,0.71706,0.35864,0.79526,0.96993,0.9775,0.98318,0.82588,0.6785,0.34634,0.80808,0.000812,0.000812,0.000812
122,9456.92,0.71637,0.3576,0.7967,0.97568,0.97273,0.98777,0.82333,0.7074,0.33402,0.81688,0.0008021,0.0008021,0.0008021
123,9533.75,0.70354,0.35368,0.80534,0.95145,0.97879,0.9799,0.81734,0.69423,0.36772,0.81233,0.0007922,0.0007922,0.0007922
124,9610.57,0.70099,0.35286,0.80406,0.95867,0.98182,0.98726,0.82464,0.72041,0.36081,0.81103,0.0007823,0.0007823,0.0007823
125,9687.48,0.70854,0.35463,0.80298,0.96943,0.97273,0.98299,0.81783,0.70642,0.35328,0.81258,0.0007724,0.0007724,0.0007724
126,9764.68,0.68433,0.35413,0.80595,0.96896,0.9697,0.98832,0.83133,0.67517,0.3387,0.81133,0.0007625,0.0007625,0.0007625
127,9841.94,0.70693,0.34827,0.79526,0.97874,0.97649,0.98666,0.82256,0.67906,0.34371,0.81349,0.0007526,0.0007526,0.0007526
128,9919.22,0.65419,0.33224,0.79437,0.96104,0.98485,0.98498,0.8281,0.67401,0.33011,0.8118,0.0007427,0.0007427,0.0007427
129,9996.52,0.70088,0.34747,0.79582,0.97303,0.98413,0.98657,0.83618,0.65744,0.33636,0.8057,0.0007328,0.0007328,0.0007328
130,10073.8,0.69081,0.34356,0.78479,0.97852,0.96647,0.98601,0.83064,0.67865,0.34024,0.80976,0.0007229,0.0007229,0.0007229
131,10150.9,0.66192,0.34166,0.79171,0.96171,0.98788,0.98454,0.83623,0.64434,0.33702,0.80854,0.000713,0.000713,0.000713
132,10227.8,0.67259,0.34526,0.79124,0.95203,0.98485,0.98147,0.81989,0.68823,0.34261,0.81012,0.0007031,0.0007031,0.0007031
133,10304.6,0.66367,0.34558,0.7911,0.96439,0.98487,0.98643,0.82933,0.67114,0.33482,0.8126,0.0006932,0.0006932,0.0006932
134,10381.4,0.6739,0.33755,0.79309,0.95305,0.99091,0.98466,0.82238,0.69086,0.33723,0.80979,0.0006833,0.0006833,0.0006833
135,10458.2,0.67789,0.34742,0.79082,0.9643,0.98212,0.98351,0.82696,0.67581,0.33358,0.80733,0.0006734,0.0006734,0.0006734
136,10535,0.6644,0.33264,0.79289,0.96095,0.9693,0.98566,0.81872,0.67447,0.34508,0.8093,0.0006635,0.0006635,0.0006635
137,10611.9,0.67755,0.34367,0.79839,0.9693,0.98182,0.98881,0.82923,0.70009,0.34586,0.81118,0.0006536,0.0006536,0.0006536
138,10689,0.66905,0.33379,0.78758,0.96126,0.97576,0.98466,0.82916,0.65777,0.32417,0.80785,0.0006437,0.0006437,0.0006437
139,10766.3,0.66419,0.33317,0.79473,0.97013,0.98429,0.98924,0.83018,0.67421,0.33463,0.80754,0.0006338,0.0006338,0.0006338
140,10843.6,0.66138,0.33561,0.79945,0.95447,0.98485,0.98349,0.82683,0.6763,0.34032,0.80595,0.0006239,0.0006239,0.0006239
141,10920.9,0.67141,0.33918,0.79347,0.9728,0.97556,0.98797,0.83592,0.67499,0.32898,0.8036,0.000614,0.000614,0.000614
142,10998.2,0.66027,0.32863,0.79181,0.96091,0.97576,0.98826,0.84032,0.65545,0.31576,0.80842,0.0006041,0.0006041,0.0006041
143,11077.1,0.66359,0.33191,0.79129,0.95514,0.98182,0.98461,0.83526,0.65062,0.32123,0.81232,0.0005942,0.0005942,0.0005942
144,11154.1,0.62279,0.31479,0.79625,0.94897,0.98485,0.98552,0.8356,0.66603,0.32435,0.81642,0.0005843,0.0005843,0.0005843
145,11231,0.67517,0.3325,0.79001,0.9703,0.98986,0.98822,0.84099,0.6573,0.32276,0.81007,0.0005744,0.0005744,0.0005744
146,11309.7,0.63801,0.3311,0.79188,0.95973,0.99091,0.98596,0.83388,0.67076,0.3291,0.80982,0.0005645,0.0005645,0.0005645
147,11386.6,0.64594,0.329,0.79322,0.97267,0.98182,0.98714,0.83009,0.64292,0.32126,0.80807,0.0005546,0.0005546,0.0005546
148,11463.4,0.64803,0.319,0.78668,0.96719,0.9826,0.98569,0.8357,0.65921,0.32639,0.80835,0.0005447,0.0005447,0.0005447
149,11540.2,0.66406,0.33017,0.78247,0.95578,0.99091,0.98445,0.83359,0.66662,0.321,0.80908,0.0005348,0.0005348,0.0005348
150,11617.4,0.62907,0.3273,0.7822,0.97283,0.98788,0.98788,0.83844,0.66854,0.32599,0.80455,0.0005249,0.0005249,0.0005249
151,11694.7,0.62479,0.31302,0.7854,0.97297,0.98171,0.98552,0.83892,0.66895,0.3205,0.80331,0.000515,0.000515,0.000515
152,11771.9,0.65444,0.32342,0.77878,0.96948,0.97879,0.9851,0.8335,0.64963,0.30928,0.80438,0.0005051,0.0005051,0.0005051
153,11849.2,0.6181,0.3161,0.78752,0.96141,0.98139,0.97973,0.82672,0.65906,0.33089,0.80864,0.0004952,0.0004952,0.0004952
154,11926.4,0.63179,0.32024,0.79157,0.97022,0.98714,0.98732,0.83755,0.65753,0.31806,0.8074,0.0004853,0.0004853,0.0004853
155,12003.5,0.62787,0.31475,0.78918,0.9684,0.98788,0.98714,0.84527,0.6535,0.31778,0.80511,0.0004754,0.0004754,0.0004754
156,12082.3,0.62883,0.31373,0.79272,0.96441,0.98538,0.98627,0.83361,0.66589,0.31927,0.80596,0.0004655,0.0004655,0.0004655
157,12159.2,0.63841,0.31449,0.79141,0.97008,0.98256,0.98712,0.83617,0.67036,0.31629,0.80579,0.0004556,0.0004556,0.0004556
158,12236,0.61077,0.31045,0.79073,0.97303,0.98788,0.98698,0.83699,0.66013,0.31249,0.80619,0.0004457,0.0004457,0.0004457
159,12312.8,0.62706,0.31191,0.79112,0.97022,0.98716,0.98429,0.82868,0.65615,0.31712,0.80771,0.0004358,0.0004358,0.0004358
160,12389.6,0.6293,0.30644,0.78811,0.97133,0.97576,0.98393,0.83616,0.65575,0.31729,0.80423,0.0004259,0.0004259,0.0004259
161,12466.4,0.63815,0.31626,0.79408,0.97317,0.98909,0.98314,0.8211,0.68287,0.31567,0.80942,0.000416,0.000416,0.000416
162,12543.4,0.62324,0.30781,0.79008,0.96559,0.98485,0.98055,0.83412,0.65873,0.32028,0.80704,0.0004061,0.0004061,0.0004061
